,No,Site ID,Fuel Acc,Updated Site Name,Company Name,Region,TA,Segment,Sub Segment,Station Add,Postcode,District,State,Site ID 2,Latitude,Longitude,region,id,Sales_70020771,Sales_70100346,Total Sales,Assigned Township
0,1.0,RYB0253,90001858.0,JERAM,S/S AZAHARI MOHAMAD,CENTRAL 1,C01,Rural,Transient,"Lot 5174, Jalan Besar, Jeram, Sungai Buloh",45800.0,Kuala Selangor,Selangor,RYB0253,3.254883,101.309571,Central,90001858,16330.5,4872.0,21202.5,Kapar
1,2.0,RYB0449,90001882.0,IJOK,MOHAMAD ZUHIR BIN HAJI IBRAHIM,CENTRAL 1,C01,Sub Urban,Residential,"Lot 1476, Simpang Tiga Ijuk, Batang Berjuntai, Selangor",45620.0,Kuala Selangor,Selangor,RYB0449,3.314365,101.417705,Central,90001882,11011.5,5774.5,16786.0,Kundang
2,3.0,RYB0098,90001993.0,TAMAN KLANG UTAMA,ABADAN ENTERPRISE,CENTRAL 1,C01,Urban,Residential,"Lot PT 12911, Tmn Kelang Utama, Jln Hj Sirat, Klang",42100.0,Klang,Selangor,RYB0098,3.078767,101.420977,Central,90001993,12355.0,2149.5,14504.5,Batu 4
3,5.0,RYB0179,90047172.0,SUNGAI SEMBILANG,ABADAN DUA ENTERPRISE,CENTRAL 1,C01,Rural,Residential,"Lot 833, Bt 17, Sg Sembilang Jeram 45800 Selangor",45800.0,Kuala Selangor,Selangor,RYB0179,3.194097,101.314852,Central,90047172,10578.0,5743.5,16321.5,Kapar
4,6.0,RYB0691,90033010.0,TAMAN SUNGAI KAPAR,KAPAR CITY CONVENIENCE STORE,CENTRAL 1,C01,Urban,Residential,"Lot 40846 Taman Sg Kapar Indah, Batu 7 Jalan Kapar, Klang,Selangor",42200.0,Klang,Selangor,RYB0691,3.097494,101.3751,Central,90033010,15850.5,7478.0,23328.5,Kapar
5,7.0,RYB0105,90033459.0,BAGAN NAKHODA OMAR,STESYEN SERVIS ABDUL RAZAK,CENTRAL 1,C01,Rural,Residential,"Lot 634, Mukim Bagan Nakhoda Omar, Selangor",45200.0,Sabak Bernam,Selangor,RYB0105,3.77166,100.885895,Central,90033459,10000.0,2000.0,12000.0,Sungai Air Tawar
6,8.0,RYB0974,90034668.0,PSS JLN HJ SIRAT,DETRONAS PETROL STATION,CENTRAL 1,C01,Urban,Residential,"Lot PT 19146 HS(M) 12761 Jalan Hj Sirat, Mukim Kapar, Klang, Selangor",41400.0,Klang,Selangor,RYB0974,3.077638,101.434797,Central,90034668,9397.5,4593.5,13991.0,Bukit Raja
7,9.0,RYB0848,90037368.0,BT 9 TANJUNG KARANG,ONE CITY SUPERSTATION,CENTRAL 1,C01,Rural,Transient,"Lot 19797, GM 2038, Mukim Tanjung Karang",43000.0,Kuala Selangor,Selangor,RYB0848,3.428692,101.164448,Central,90037368,9071.0,4112.0,13183.0,Sekinchan
8,10.0,RYB0854,90038541.0,TANJONG KARANG 2,HE GLOBAL PETROL KIOSK,CENTRAL 1,C01,Rural,Transient,"Lot 5, GM 627 (PT 25 HSM 2948) Mukim Hujung Permatang, Tanjung Karang, Selangor",45500.0,Kuala Selangor,Selangor,RYB0854,3.414436,101.19103,Central,90038541,5651.0,4676.0,10327.0,Sekinchan
9,11.0,RYB0197,90038575.0,BATU 6 JALAN MERU,SURANI DAN ANAK ANAK,CENTRAL 1,C01,Urban,Transient,"Lot 2114, Batu 6, Jalan Meru, Klang",41050.0,Klang,Selangor,RYB0197,3.13138,101.439782,Central,90038575,20708.5,4379.0,25087.5,Meru
10,12.0,RYB0450,90039184.0,BATU BELAH,BATU BELAH PETROSERVIS,CENTRAL 1,C01,Rural,Transient,"Lot PT 15124-15137, Kg Batu Belah, Lebuhraya Shapadu",42100.0,Klang,Selangor,RYB0450,3.069418,101.437429,Central,90039184,5374.5,4671.5,10046.0,Bukit Raja
11,13.0,RYB1042,90039352.0,SUNGAI HAJI DORANI,DORANI MULTI IDEA RESOURCES,CENTRAL 1,C01,Rural,Transient,"Lot 9188 & 9189 GM 80, Kampong Sg. Haji Dorani, Sungai Besar, Panchang Bedena, Sabak Bernam, Selangor",45300.0,Sabak Bernam,Selangor,RYB1042,3.642022,101.027969,Central,90039352,9604.0,4458.0,14062.0,Sungai Besar
12,14.0,RYB0525,90040148.0,BATU 2 1/2 JLN KAPAR,ZIKRYZ SERVICES,CENTRAL 1,C01,Urban,Residential,"Lot PT 23, Bt 2 1/2 Jalan Kapar",41400.0,Klang,Selangor,RYB0525,3.067743,101.426952,Central,90040148,5061.5,3417.0,8478.5,Batu 4
13,15.0,RYB0591,90041911.0,SHAPADU HIGHWAY,NAZRA RESOURCES,CENTRAL 1,C01,Highway,Intrastate,"Lot 52, Kawasan R&R, Lebuhraya Baru Shapadu 41400, Klang. Selangor",41400.0,Klang,Selangor,RYB0591,3.080822,101.426705,Central,90041911,11946.5,19325.0,31271.5,Bukit Raja
14,16.0,RYB0117,90042298.0,KUALA SELANGOR,CEMPAKA MURNI PETROSERVIS,CENTRAL 1,C01,Sub Urban,Residential,Lot 629 Batu 1 Jalan Besar,45000.0,Kuala Selangor,Selangor,RYB0117,3.332947,101.255488,Central,90042298,8836.0,2684.0,11520.0,Kapar
15,17.0,RYB0216,90042341.0,SEKINCHAN,SEKINCHAN MULTI IDEA RESOURCES,CENTRAL 1,C01,Rural,Transient,"Lot 295, Jalan Besar, Pekan Sekinchan, Selangor",45400.0,Sabak Bernam,Selangor,RYB0216,3.508796,101.099844,Central,90042341,3502.0,1661.5,5163.5,Sekinchan
16,18.0,RYB1292,90047701.0,PASIR PENAMBANG,7 HEAVEN EMPIRE,CENTRAL 1,C01,Rural,Transient,"PT 762, Jalan Pasir Penambang, Seksyen 3, Pekan Pasir Penambang,  45000  Selangor",45000.0,Kuala Selangor,Selangor,RYB1292,3.3488116384,101.25456587,Central,90047701,8087.0,3546.0,11633.0,Sekinchan
17,19.0,RYB0330,90001985.0,JALAN KIM CHUAN,ANY ENTERPRISE,CENTRAL 1,C02,Urban,Residential,"Lot PT 11854, Jln Kim Chuan, Pelabuhan Klang",42000.0,Klang,Selangor,RYB0330,3.015814,101.426364,Central,90001985,4215.0,1125.0,5340.0,Pandamaran
18,20.0,RYB0336,90018404.0,SRI ANDALAS,STESEN MINYAK ADIL ABADI,CENTRAL 1,C02,Urban,Residential,"Lot 17100 - 17102, Taman Sri Andalas, Jalan Banting, Klang",41300.0,Klang,Selangor,RYB0336,3.020587,101.442495,Central,90018404,7151.5,816.0,7967.5,Pandamaran
19,21.0,RYB0212,90018579.0,KG JAWA,LUKMAN BIN A HAMID,CENTRAL 1,C02,Urban,Residential,"Lot 17867, Jalan Kota Raja, Kampung Jawa, Klang",41000.0,Klang,Selangor,RYB0212,3.033309,101.453341,Central,90018579,12596.0,2089.0,14685.0,Telok Menegun
