,District,Township,Latitude,Longitude,Total Sales,Proportion Sales
0,Gombak,Gombak,3.2535,101.6533,83199.0,0.016604273496427045
1,Gombak,Rawang,3.3205,101.5759,133294.5,0.026601982398460254
2,Gombak,Ampang,3.1491,101.7625,125347.0,0.0250158760316427
3,Gombak,Setapak,3.2791,101.741,9863.5,0.001968488222598927
4,Gombak,Ulu Klang,3.1721,101.7593,186965.0,0.03731316475269513
5,Gombak,Selayang,3.2637,101.6538,17530.0,0.0034985145782084654
6,Gombak,Kundang,3.2769,101.5128,106725.0,0.021299427744398088
7,Gombak,Kuang,3.2588,101.5546,19812.0,0.003953940149655797
8,Gombak,Batu Caves,3.2379,101.684,223980.5,0.04470045889814154
9,Gombak,Sungai Buloh,3.2093,101.5613,135405.5,0.02702328098799808
10,Gombak,Kampung Sungai Pusu,3.257,101.7505,15387.5,0.0030709294393715205
11,Hulu Langat,Kajang,2.9935,101.7874,86187.5,0.017200697387868915
12,Hulu Langat,Ampang,3.1491,101.7625,125347.0,0.0250158760316427
13,Hulu Langat,Cheras,3.1068,101.7259,192328.5,0.03838357450399126
14,Hulu Langat,Bangi,2.9198,101.7809,76049.0,0.015177326592023706
15,Hulu Langat,Semenyih,2.9474,101.8451,82721.0,0.016508877605475324
16,Hulu Langat,Beranang,2.8688,101.8703,33747.0,0.006734989815790135
17,Hulu Langat,Bandar Baru Bangi,2.9619,101.7571,59854.0,0.011945241960301738
18,Hulu Langat,Bandar Tun Hussein Onn,3.0544,101.7593,166481.0,0.033225111551324786
19,Hulu Langat,Balakong,3.0257,101.7381,72931.0,0.014555057997907676
20,Hulu Langat,Taman Sri Nanding,3.1002,101.8045,31847.0,0.006355801127906731
21,Hulu Selangor,Kuala Kubu Baru,3.5609,101.6585,6140.5,0.001225477967341077
22,Hulu Selangor,Batang Kali,3.4601,101.655,20673.0,0.004125772497165066
25,Hulu Selangor,Serendah,3.3639,101.6029,25030.5,0.004995411816876611
26,Hulu Selangor,Hulu Bernam,3.6714,101.5227,44188.5,0.008818831228703066
27,Hulu Selangor,Bukit Beruntung,3.4244,101.5569,25791.5,0.005147286865023595
28,Klang,Kapar,3.1373,101.3744,72372.5,0.014443596480969318
29,Klang,Shah Alam,3.0733,101.5185,147072.0,0.029351599318098994
30,Klang,Meru,3.1334,101.441,134066.5,0.02675605274953709
31,Klang,Bandar Baru Klang,2.9764,101.7715,43722.5,0.008725830213674821
32,Klang,Bukit Kemuning,2.9849,101.524,122429.0,0.024433522036251237
33,Klang,Pandamaran,3.0109,101.4208,71287.5,0.014227059782888532
35,Klang,Telok Menegun,3.0326,101.4759,45503.5,0.009081269715317107
36,Klang,Glenmarie Covie,2.9752,101.407,73795.0,0.014727489064397815
37,Klang,Batu 4,3.0722,101.41,22983.0,0.004586786112433836
38,Kuala Langat,Bandar Saujana Putra,2.9518,101.5803,23011.5,0.004592473942752088
39,Kuala Langat,Banting,2.8121,101.5026,30001.5,0.005987489168175771
42,Kuala Langat,Teluk Datok,2.819,101.5205,28754.0,0.005738521858631273
44,Kuala Langat,Tanjung Sepat,2.6653,101.5577,9568.0,0.0019095144029833767
45,Kuala Langat,Teluk Panglima Garang,2.9097,101.4684,72011.5,0.01437155063027147
46,Petaling,Petaling Jaya,3.1279,101.5945,183919.0,0.03670526541411995
48,Petaling,Subang Jaya,3.0567,101.5851,243476.0,0.048591234195315705
49,Petaling,Damansara,3.0941,101.5475,150083.5,0.02995261338839419
50,Petaling,Shah Alam,3.0733,101.5185,147072.0,0.029351599318098994
51,Petaling,Bukit Raja,3.0874,101.4333,60368.0,0.012047822479023881
52,Petaling,Kota Raja,3.009,101.4782,66253.0,0.01322230954649432
53,Petaling,Bandar Sri Damansara,3.1926,101.6105,112883.0,0.022528398239127563
54,Petaling,Country Heights,2.9935,101.7403,111291.5,0.022210777819776806
56,Petaling,Puchong Jaya,3.0517,101.6239,160963.0,0.03212386777251393
57,Petaling,Puchong Perdana,3.007,101.6045,196235.0,0.039163206403578905
58,Petaling,Serdang,3.022,101.7055,133487.5,0.026640499986229464
59,Sabak Bernam,Sekinchan,3.5041,101.1033,40306.5,0.008044088867459184
61,Sabak Bernam,Sungai Besar,3.6754,100.9858,14062.0,0.0028063954363244403
62,Sabak Bernam,Sungai Air Tawar,3.7756,100.8821,12000.0,0.0023948759234741347
65,Sepang,Dengkil,2.8594,101.679,55255.0,0.011027405762630275
67,Sepang,Cyberjaya,2.9213,101.6559,205469.5,0.04100616321318906
68,Sepang,Salak Tinggi,2.7968,101.7424,105007.0,0.020956561341354037
69,Sepang,KLIA,2.7347,101.7051,9162.0,0.0018284877675725018
